id,preview_link,download_link
1JXLvMNJlNmEc9LKnuut6Te1egEkTGGcj,https://drive.google.com/file/d/1JXLvMNJlNmEc9LKnuut6Te1egEkTGGcj/view,https://drive.google.com/uc?id=1JXLvMNJlNmEc9LKnuut6Te1egEkTGGcj&export=download
1icAJjzASZNSrCR156exbGZ3pQXJUl1Nr,https://drive.google.com/file/d/1icAJjzASZNSrCR156exbGZ3pQXJUl1Nr/view,https://drive.google.com/uc?id=1icAJjzASZNSrCR156exbGZ3pQXJUl1Nr&export=download
1rICm9RM6uhZqFhGdSPcCC6_9qwYkW4pf,https://drive.google.com/file/d/1rICm9RM6uhZqFhGdSPcCC6_9qwYkW4pf/view,https://drive.google.com/uc?id=1rICm9RM6uhZqFhGdSPcCC6_9qwYkW4pf&export=download
18G6uCq6LFLRi09fHe6qOxWl_lGV5S11f,https://drive.google.com/file/d/18G6uCq6LFLRi09fHe6qOxWl_lGV5S11f/view,https://drive.google.com/uc?id=18G6uCq6LFLRi09fHe6qOxWl_lGV5S11f&export=download
1VI1hfewJ3h2nQZTE6J9vTf7nP0m8zq65,https://drive.google.com/file/d/1VI1hfewJ3h2nQZTE6J9vTf7nP0m8zq65/view,https://drive.google.com/uc?id=1VI1hfewJ3h2nQZTE6J9vTf7nP0m8zq65&export=download
1KlGEonU6m2rsCqqNOVVmQNfNcSxSuJa6,https://drive.google.com/file/d/1KlGEonU6m2rsCqqNOVVmQNfNcSxSuJa6/view,https://drive.google.com/uc?id=1KlGEonU6m2rsCqqNOVVmQNfNcSxSuJa6&export=download
1fuxdrx-sENH4HD9Eo9fLaxOaHCUPO-HU,https://drive.google.com/file/d/1fuxdrx-sENH4HD9Eo9fLaxOaHCUPO-HU/view,https://drive.google.com/uc?id=1fuxdrx-sENH4HD9Eo9fLaxOaHCUPO-HU&export=download
1G5HorsRsZtv1gE7jMKhsCrVCn2vtfDHb,https://drive.google.com/file/d/1G5HorsRsZtv1gE7jMKhsCrVCn2vtfDHb/view,https://drive.google.com/uc?id=1G5HorsRsZtv1gE7jMKhsCrVCn2vtfDHb&export=download
1UWCmjNPQDog6RktHj2SFx59Evuck49ft,https://drive.google.com/file/d/1UWCmjNPQDog6RktHj2SFx59Evuck49ft/view,https://drive.google.com/uc?id=1UWCmjNPQDog6RktHj2SFx59Evuck49ft&export=download
1j676XWO0If0-0hZCVa2w0Caj2sfy-D94,https://drive.google.com/file/d/1j676XWO0If0-0hZCVa2w0Caj2sfy-D94/view,https://drive.google.com/uc?id=1j676XWO0If0-0hZCVa2w0Caj2sfy-D94&export=download
17TGh02YJdjW3WOLsAjXtNpU3pseI9PYx,https://drive.google.com/file/d/17TGh02YJdjW3WOLsAjXtNpU3pseI9PYx/view,https://drive.google.com/uc?id=17TGh02YJdjW3WOLsAjXtNpU3pseI9PYx&export=download
1KjopPMuBXrWKxFGhdBEbW4FLHxNa6Fym,https://drive.google.com/file/d/1KjopPMuBXrWKxFGhdBEbW4FLHxNa6Fym/view,https://drive.google.com/uc?id=1KjopPMuBXrWKxFGhdBEbW4FLHxNa6Fym&export=download
1gOPvvvnDqqB3zM2WLjy9SPI5ZcXEpzCk,https://drive.google.com/file/d/1gOPvvvnDqqB3zM2WLjy9SPI5ZcXEpzCk/view,https://drive.google.com/uc?id=1gOPvvvnDqqB3zM2WLjy9SPI5ZcXEpzCk&export=download
1vGfNg5wLlvYqox8ffvGtkYolSDmocsyH,https://drive.google.com/file/d/1vGfNg5wLlvYqox8ffvGtkYolSDmocsyH/view,https://drive.google.com/uc?id=1vGfNg5wLlvYqox8ffvGtkYolSDmocsyH&export=download
1sSkyYbP7NxfeQSKGHxa6mPAyHG3l4iC3,https://drive.google.com/file/d/1sSkyYbP7NxfeQSKGHxa6mPAyHG3l4iC3/view,https://drive.google.com/uc?id=1sSkyYbP7NxfeQSKGHxa6mPAyHG3l4iC3&export=download
12DVyR0S2LCEMzwNhSWBXTlLFYTfiqMDX,https://drive.google.com/file/d/12DVyR0S2LCEMzwNhSWBXTlLFYTfiqMDX/view,https://drive.google.com/uc?id=12DVyR0S2LCEMzwNhSWBXTlLFYTfiqMDX&export=download
1hKhx6Rnv2DtuNbzmBJIsfiRmTbgjszQ8,https://drive.google.com/file/d/1hKhx6Rnv2DtuNbzmBJIsfiRmTbgjszQ8/view,https://drive.google.com/uc?id=1hKhx6Rnv2DtuNbzmBJIsfiRmTbgjszQ8&export=download
1akXVkS0N-h3Lz6n6GRaZOGcymx8Wudca,https://drive.google.com/file/d/1akXVkS0N-h3Lz6n6GRaZOGcymx8Wudca/view,https://drive.google.com/uc?id=1akXVkS0N-h3Lz6n6GRaZOGcymx8Wudca&export=download
1_ajd-mvxC7MowA140W6U1QR2BNT8yNNI,https://drive.google.com/file/d/1_ajd-mvxC7MowA140W6U1QR2BNT8yNNI/view,https://drive.google.com/uc?id=1_ajd-mvxC7MowA140W6U1QR2BNT8yNNI&export=download
